user_id,event_timestamp,event_name,event_date
101007,2026-07-01 01:00:00,onboarding_step_1_completed,2026-07-01
101291,2026-07-01 01:00:00,onboarding_step_1_completed,2026-07-01
101319,2026-07-01 01:00:00,onboarding_step_3_completed,2026-07-01
101335,2026-07-01 01:00:00,onboarding_started,2026-07-01
101435,2026-07-01 01:00:00,onboarding_started,2026-07-01
101635,2026-07-01 01:00:00,onboarding_started,2026-07-01
102521,2026-07-01 01:00:00,onboarding_step_2_completed,2026-07-01
103380,2026-07-01 01:00:00,core_action,2026-07-01
104027,2026-07-01 01:00:00,onboarding_started,2026-07-01
104030,2026-07-01 01:00:00,onboarding_started,2026-07-01
104265,2026-07-01 01:00:00,onboarding_step_3_completed,2026-07-01
104857,2026-07-01 01:00:00,onboarding_started,2026-07-01
105294,2026-07-01 01:00:00,onboarding_step_3_completed,2026-07-01
105297,2026-07-01 01:00:00,onboarding_step_1_completed,2026-07-01
105515,2026-07-01 01:00:00,onboarding_step_3_completed,2026-07-01
105736,2026-07-01 01:00:00,onboarding_started,2026-07-01
106049,2026-07-01 01:00:00,onboarding_step_2_completed,2026-07-01
106281,2026-07-01 01:00:00,onboarding_started,2026-07-01
106833,2026-07-01 01:00:00,onboarding_started,2026-07-01
107250,2026-07-01 01:00:00,onboarding_started,2026-07-01
107251,2026-07-01 01:00:00,onboarding_step_3_completed,2026-07-01
108223,2026-07-01 01:00:00,onboarding_step_2_completed,2026-07-01
108259,2026-07-01 01:00:00,onboarding_step_2_completed,2026-07-01
108695,2026-07-01 01:00:00,onboarding_step_1_completed,2026-07-01
108695,2026-07-01 01:00:00,onboarding_step_2_completed,2026-07-01
108823,2026-07-01 01:00:00,onboarding_started,2026-07-01
108823,2026-07-01 01:00:00,onboarding_step_3_completed,2026-07-01
109329,2026-07-01 01:00:00,onboarding_step_1_completed,2026-07-01
110400,2026-07-01 01:00:00,onboarding_step_2_completed,2026-07-01
112126,2026-07-01 01:00:00,onboarding_step_2_completed,2026-07-01
112130,2026-07-01 01:00:00,onboarding_step_2_completed,2026-07-01
112222,2026-07-01 01:00:00,onboarding_step_3_completed,2026-07-01
112380,2026-07-01 01:00:00,onboarding_started,2026-07-01
112798,2026-07-01 01:00:00,onboarding_step_3_completed,2026-07-01
113369,2026-07-01 01:00:00,onboarding_step_1_completed,2026-07-01
100891,2026-07-01 02:00:00,onboarding_started,2026-07-01
101245,2026-07-01 02:00:00,onboarding_step_3_completed,2026-07-01
101251,2026-07-01 02:00:00,onboarding_step_1_completed,2026-07-01
101655,2026-07-01 02:00:00,onboarding_step_3_completed,2026-07-01
102171,2026-07-01 02:00:00,onboarding_started,2026-07-01
102254,2026-07-01 02:00:00,onboarding_started,2026-07-01
103003,2026-07-01 02:00:00,onboarding_step_2_completed,2026-07-01
103094,2026-07-01 02:00:00,onboarding_started,2026-07-01
103164,2026-07-01 02:00:00,onboarding_step_2_completed,2026-07-01
104303,2026-07-01 02:00:00,onboarding_started,2026-07-01
105020,2026-07-01 02:00:00,onboarding_started,2026-07-01
105866,2026-07-01 02:00:00,onboarding_started,2026-07-01
109203,2026-07-01 02:00:00,onboarding_step_3_completed,2026-07-01
110262,2026-07-01 02:00:00,onboarding_started,2026-07-01
111229,2026-07-01 02:00:00,onboarding_started,2026-07-01
111831,2026-07-01 02:00:00,onboarding_started,2026-07-01
112130,2026-07-01 02:00:00,onboarding_step_3_completed,2026-07-01
112377,2026-07-01 02:00:00,onboarding_step_2_completed,2026-07-01
113369,2026-07-01 02:00:00,onboarding_started,2026-07-01
113422,2026-07-01 02:00:00,onboarding_step_1_completed,2026-07-01
100161,2026-07-01 03:00:00,onboarding_step_1_completed,2026-07-01
100243,2026-07-01 03:00:00,onboarding_started,2026-07-01
100502,2026-07-01 03:00:00,onboarding_step_1_completed,2026-07-01
101238,2026-07-01 03:00:00,onboarding_started,2026-07-01
101655,2026-07-01 03:00:00,onboarding_step_1_completed,2026-07-01
101844,2026-07-01 03:00:00,onboarding_step_2_completed,2026-07-01
102367,2026-07-01 03:00:00,onboarding_started,2026-07-01
102405,2026-07-01 03:00:00,onboarding_step_2_completed,2026-07-01
102495,2026-07-01 03:00:00,onboarding_started,2026-07-01
102772,2026-07-01 03:00:00,onboarding_started,2026-07-01
102990,2026-07-01 03:00:00,onboarding_started,2026-07-01
103253,2026-07-01 03:00:00,onboarding_step_1_completed,2026-07-01
104054,2026-07-01 03:00:00,onboarding_step_2_completed,2026-07-01
104054,2026-07-01 03:00:00,core_action,2026-07-01
104792,2026-07-01 03:00:00,onboarding_step_2_completed,2026-07-01
105432,2026-07-01 03:00:00,onboarding_started,2026-07-01
105515,2026-07-01 03:00:00,onboarding_step_1_completed,2026-07-01
106583,2026-07-01 03:00:00,onboarding_started,2026-07-01
107250,2026-07-01 03:00:00,onboarding_step_3_completed,2026-07-01
107315,2026-07-01 03:00:00,onboarding_step_2_completed,2026-07-01
109203,2026-07-01 03:00:00,onboarding_step_1_completed,2026-07-01
109379,2026-07-01 03:00:00,onboarding_step_2_completed,2026-07-01
109466,2026-07-01 03:00:00,onboarding_step_1_completed,2026-07-01
109964,2026-07-01 03:00:00,onboarding_step_3_completed,2026-07-01
111111,2026-07-01 03:00:00,onboarding_step_3_completed,2026-07-01
113422,2026-07-01 03:00:00,onboarding_step_2_completed,2026-07-01
113446,2026-07-01 03:00:00,onboarding_started,2026-07-01
113967,2026-07-01 03:00:00,onboarding_step_1_completed,2026-07-01
114045,2026-07-01 03:00:00,onboarding_started,2026-07-01
100161,2026-07-01 04:00:00,onboarding_started,2026-07-01
100471,2026-07-01 04:00:00,onboarding_step_2_completed,2026-07-01
101253,2026-07-01 04:00:00,onboarding_started,2026-07-01
101319,2026-07-01 04:00:00,onboarding_step_2_completed,2026-07-01
101844,2026-07-01 04:00:00,onboarding_step_3_completed,2026-07-01
103164,2026-07-01 04:00:00,onboarding_step_1_completed,2026-07-01
103410,2026-07-01 04:00:00,onboarding_step_1_completed,2026-07-01
105343,2026-07-01 04:00:00,onboarding_step_1_completed,2026-07-01
106020,2026-07-01 04:00:00,onboarding_started,2026-07-01
106833,2026-07-01 04:00:00,onboarding_step_1_completed,2026-07-01
108259,2026-07-01 04:00:00,core_action,2026-07-01
108442,2026-07-01 04:00:00,onboarding_started,2026-07-01
108695,2026-07-01 04:00:00,core_action,2026-07-01
108727,2026-07-01 04:00:00,onboarding_started,2026-07-01
109379,2026-07-01 04:00:00,onboarding_started,2026-07-01
109494,2026-07-01 04:00:00,onboarding_started,2026-07-01
109964,2026-07-01 04:00:00,onboarding_step_2_completed,2026-07-01
110226,2026-07-01 04:00:00,onboarding_started,2026-07-01
